total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million
1.0,1.0,0,0.0,22,22,0,0.0
2.0,1.0,0,0.0,44,22,0,0.0
8.0,6.0,0,0.0,177,133,0,0.0
9.0,1.0,1.0,1.0,199,22,22,22
12.0,3.0,1.0,0.0,266,66,22,0.0
19.0,7.0,1.0,0.0,0.42,155,22,0.0
31.0,12.0,1.0,0.0,686,266,22,0.0
34.0,3.0,2.0,1.0,752,66,44,22
45.0,11.0,2.0,0.0,996,243,44,0.0
56.0,11.0,2.0,0.0,1239,243,44,0.0
65.0,9.0,2.0,0.0,1438,199,44,0.0
79.0,14.0,2.0,0.0,1748,0.31,44,0.0
97.0,18.0,2.0,0.0,2146,398,44,0.0
128.0,31.0,3.0,1.0,2832,686,66,22
158.0,30.0,3.0,0.0,3496,664,66,0.0
225.0,67.0,4.0,1.0,4978,1482,89,22
266.0,41.0,4.0,0.0,5886,907,89,0.0
301.0,35.0,4.0,0.0,6.66,774,89,0.0
387.0,86.0,6.0,2.0,8563,1903,133,44
502.0,115.0,8.0,2.0,11107,2544,177,44
589.0,87.0,12.0,4.0,13032,1925,266,89
690.0,101.0,17.0,5.0,15267,2235,376,111
745.0,55.0,19.0,2.0,16484,1217,0.42,44
820.0,75.0,20.0,1.0,18143,1659,443,22
966.0,146.0,24.0,4.0,21374,3.23,531,89
966.0,0.0,24.0,0.0,21374,0.0,531,0.0
1133.0,167.0,31.0,7.0,25069,3695,686,155
1133.0,0.0,34.0,3.0,25069,0.0,752,66
1265.0,132.0,37.0,3.0,27989,2921,819,66
1451.0,186.0,43.0,6.0,32105,4115,951,133
1554.0,103.0,46.0,3.0,34384,2279,1018,66
1628.0,74.0,53.0,7.0,36021,1637,1173,155
1715.0,87.0,60.0,7.0,37946,1925,1328,155
1795.0,80.0,65.0,5.0,39716,1.77,1438,111
1894.0,99.0,79.0,14.0,41907,2.19,1748,0.31
1975.0,81.0,82.0,3.0,43699,1792,1814,66
2137.0,162.0,89.0,7.0,47283,3584,1969,155
2203.0,66.0,95.0,6.0,48743,1.46,2102,133
2272.0,69.0,98.0,3.0,50.27,1527,2168,66
